pageid,chaxunid,name
313000000146,732,l-industry-redpacket-shake
313000000147,733,l-industry-redpacket-rotate
313000000148,734,l-live-rotate
313000000149,735,l-live-shake
313000000150,736,l-live-normal
313000000151,737,l-sample-live-rotate
313000000152,738,l-sample-live-shake
313000000153,739,l-sample-live-normal
313000000154,740,r-rotate-combo-special
313000000155,741,r-rotate-combo-rect
313000000156,742,r-shake-combo-special
313000000157,743,r-shake-combo-rect
313000000158,744,r-normal-special
313000000159,745,r-normal-rect
313000000160,746,r-normal-rect-horizontal-2
313000000161,747,r-normal-rect-horizontal-3
313000000162,748,r-industry-redpacket-normal
313000000163,749,r-industry-redpacket-shake
313000000164,750,r-industry-redpacket-rotate
313000000165,751,r-live-rotate
313000000166,752,r-live-shake
313000000167,753,r-live-normal
313000000168,754,r-sample-live-rotate
313000000169,755,r-sample-live-shake
313000000170,756,r-sample-live-normal
313000000171,757,l-inter-end-normal
313000000172,758,l-inter-end-rotate
313000000173,759,l-inter-end-shake
313000000174,760,r-inter-end-normal
313000000175,761,r-inter-end-rotate
313000000176,762,r-inter-end-shake
313000000185,815,hongbao-lahuo-cardbottoml-rotate-combo-special
313000000186,816,hongbao-lahuo-cardbottoml-rotate-combo-rect
313000000187,817,hongbao-lahuo-cardbottoml-shake-combo-special
313000000188,818,hongbao-lahuo-cardbottoml-shake-combo-rect
313000000189,819,hongbao-lahuo-cardbottoml-normal-special
313000000190,820,hongbao-lahuo-cardbottoml-normal-rect
313000000191,821,hongbao-lahuo-cardbottoml-normal-rect-horizontal-2
313000000192,822,hongbao-lahuo-cardbottoml-normal-rect-horizontal-3
313000000193,823,hongbao-lahuo-cardbottoml-industry-redpacket-normal
313000000194,824,hongbao-lahuo-cardbottoml-industry-redpacket-shake
313000000195,825,hongbao-lahuo-cardbottoml-industry-redpacket-rotate
313000000196,826,hongbao-lahuo-cardbottoml-live-rotate
313000000197,827,hongbao-lahuo-cardbottoml-live-shake
313000000198,828,hongbao-lahuo-cardbottoml-live-normal
313000000199,829,hongbao-lahuo-cardbottoml-sample-live-rotate
313000000200,830,hongbao-lahuo-cardbottoml-sample-live-shake
313000000201,831,hongbao-lahuo-cardbottoml-sample-live-normal
313000000202,832,hongbao-lahuo-cardbottomr-rotate-combo-special
313000000203,833,hongbao-lahuo-cardbottomr-rotate-combo-rect
313000000204,834,hongbao-lahuo-cardbottomr-shake-combo-special
313000000205,835,hongbao-lahuo-cardbottomr-shake-combo-rect
313000000206,836,hongbao-lahuo-cardbottomr-normal-special
313000000207,837,hongbao-lahuo-cardbottomr-normal-rect
313000000208,838,hongbao-lahuo-cardbottomr-normal-rect-horizontal-2
313000000209,839,hongbao-lahuo-cardbottomr-normal-rect-horizontal-3
313000000210,840,hongbao-lahuo-cardbottomr-industry-redpacket-normal
313000000211,841,hongbao-lahuo-cardbottomr-industry-redpacket-shake
313000000212,842,hongbao-lahuo-cardbottomr-industry-redpacket-rotate
313000000213,843,hongbao-lahuo-cardbottomr-live-rotate
313000000214,844,hongbao-lahuo-cardbottomr-live-shake
313000000215,845,hongbao-lahuo-cardbottomr-live-normal
313000000216,846,hongbao-lahuo-cardbottomr-sample-live-rotate
313000000217,847,hongbao-lahuo-cardbottomr-sample-live-shake
313000000218,848,hongbao-lahuo-cardbottomr-sample-live-normal
313000000219,849,qipao-lahuo-cardbottoml-rotate-combo-special
313000000220,850,qipao-lahuo-cardbottoml-rotate-combo-rect
313000000221,851,qipao-lahuo-cardbottoml-shake-combo-special
313000000222,852,qipao-lahuo-cardbottoml-shake-combo-rect
313000000223,853,qipao-lahuo-cardbottoml-normal-special
313000000224,854,qipao-lahuo-cardbottoml-normal-rect
313000000225,855,qipao-lahuo-cardbottoml-normal-rect-horizontal-2
313000000226,856,qipao-lahuo-cardbottoml-normal-rect-horizontal-3
313000000227,857,qipao-lahuo-cardbottoml-industry-redpacket-normal
313000000228,858,qipao-lahuo-cardbottoml-industry-redpacket-shake
313000000229,859,qipao-lahuo-cardbottoml-industry-redpacket-rotate
313000000230,860,qipao-lahuo-cardbottoml-live-rotate
313000000231,861,qipao-lahuo-cardbottoml-live-shake
313000000232,862,qipao-lahuo-cardbottoml-live-normal
313000000233,863,qipao-lahuo-cardbottoml-sample-live-rotate
313000000234,864,qipao-lahuo-cardbottoml-sample-live-shake
313000000235,865,qipao-lahuo-cardbottoml-sample-live-normal
313000000236,866,qipao-lahuo-cardbottomr-rotate-combo-special
313000000237,867,qipao-lahuo-cardbottomr-rotate-combo-rect
313000000238,868,qipao-lahuo-cardbottomr-shake-combo-special
313000000239,869,qipao-lahuo-cardbottomr-shake-combo-rect
313000000240,870,qipao-lahuo-cardbottomr-normal-special
313000000241,871,qipao-lahuo-cardbottomr-normal-rect
313000000242,872,qipao-lahuo-cardbottomr-normal-rect-horizontal-2
313000000243,873,qipao-lahuo-cardbottomr-normal-rect-horizontal-3
313000000244,874,qipao-lahuo-cardbottomr-industry-redpacket-normal
313000000245,875,qipao-lahuo-cardbottomr-industry-redpacket-shake
313000000246,876,qipao-lahuo-cardbottomr-industry-redpacket-rotate
313000000247,877,qipao-lahuo-cardbottomr-live-rotate
313000000248,878,qipao-lahuo-cardbottomr-live-shake
313000000249,879,qipao-lahuo-cardbottomr-live-normal
313000000250,880,qipao-lahuo-cardbottomr-sample-live-rotate
313000000251,881,qipao-lahuo-cardbottomr-sample-live-shake
313000000252,882,qipao-lahuo-cardbottomr-sample-live-normal
313000000253,883,caidan-lahuo-cardbottoml-rotate-combo-special
313000000254,884,caidan-lahuo-cardbottoml-rotate-combo-rect
313000000255,885,caidan-lahuo-cardbottoml-shake-combo-special
313000000256,886,caidan-lahuo-cardbottoml-shake-combo-rect
313000000257,887,caidan-lahuo-cardbottoml-normal-special
313000000258,888,caidan-lahuo-cardbottoml-normal-rect
313000000259,889,caidan-lahuo-cardbottoml-normal-rect-horizontal-2
313000000260,890,caidan-lahuo-cardbottoml-normal-rect-horizontal-3
313000000261,891,caidan-lahuo-cardbottoml-industry-redpacket-normal
313000000262,892,caidan-lahuo-cardbottoml-industry-redpacket-shake
313000000263,893,caidan-lahuo-cardbottoml-industry-redpacket-rotate
313000000264,894,caidan-lahuo-cardbottoml-live-rotate
313000000265,895,caidan-lahuo-cardbottoml-live-shake
313000000266,896,caidan-lahuo-cardbottoml-live-normal
313000000267,897,caidan-lahuo-cardbottoml-sample-live-rotate
313000000268,898,caidan-lahuo-cardbottoml-sample-live-shake
313000000269,899,caidan-lahuo-cardbottoml-sample-live-normal
313000000270,900,caidan-lahuo-cardbottomr-rotate-combo-special
313000000271,901,caidan-lahuo-cardbottomr-rotate-combo-rect
313000000272,902,caidan-lahuo-cardbottomr-shake-combo-special
313000000273,903,caidan-lahuo-cardbottomr-shake-combo-rect
313000000274,904,caidan-lahuo-cardbottomr-normal-special
313000000275,905,caidan-lahuo-cardbottomr-normal-rect
313000000276,906,caidan-lahuo-cardbottomr-normal-rect-horizontal-2
313000000277,907,caidan-lahuo-cardbottomr-normal-rect-horizontal-3
313000000278,908,caidan-lahuo-cardbottomr-industry-redpacket-normal
313000000279,909,caidan-lahuo-cardbottomr-industry-redpacket-shake
313000000280,910,caidan-lahuo-cardbottomr-industry-redpacket-rotate
313000000281,911,caidan-lahuo-cardbottomr-live-rotate
313000000282,912,caidan-lahuo-cardbottomr-live-shake
313000000283,913,caidan-lahuo-cardbottomr-live-normal
313000000284,914,caidan-lahuo-cardbottomr-sample-live-rotate
313000000285,915,caidan-lahuo-cardbottomr-sample-live-shake
313000000286,916,caidan-lahuo-cardbottomr-sample-live-normal
