pageid,chaxunid,name
304000000139,427,giftbox-cl-rotate-combo-33
304000000140,428,giftbox-cl-rotate-combo-32
304000000141,429,giftbox-cl-rotate-combo-31
304000000142,430,giftbox-cl-rotate-combo-2
304000000143,431,giftbox-cl-rotate-combo-1
304000000144,432,giftbox-cl-rotate-combo-37-custom-1
304000000145,433,giftbox-cl-rotate-combo-37-custom-2
304000000146,434,giftbox-cl-normal-rotate
304000000147,435,giftbox-cl-shake-combo-3
304000000148,436,giftbox-cl-normal-shake
304000000149,437,giftbox-cl-slide-click-combined
304000000150,438,giftbox-cl-normal-slide-gesture
304000000151,439,giftbox-cl-click-cycle
304000000152,440,giftbox-cl-click-hand
304000000153,441,giftbox-cl-static-actionbar
304000000154,442,giftbox-ol-rotate-combo-35
304000000155,443,giftbox-ol-rotate-combo-34
304000000156,444,giftbox-ol-rotate-combo-33
304000000157,445,giftbox-ol-rotate-combo-32
304000000158,446,giftbox-ol-rotate-combo-31
304000000159,447,giftbox-ol-rotate-combo-2
304000000160,448,giftbox-ol-rotate-combo-1
304000000161,449,giftbox-ol-rotate-combo-37-custom-1
304000000162,450,giftbox-ol-rotate-combo-37-custom-2
304000000163,451,giftbox-ol-normal-rotate
304000000164,452,giftbox-ol-shake-combo-3
304000000165,453,giftbox-ol-normal-shake
304000000166,454,giftbox-ol-slide-click-combined
304000000167,455,giftbox-ol-normal-slide-gesture
304000000168,456,giftbox-ol-click-cycle
304000000169,457,giftbox-ol-click-hand
304000000170,458,giftbox-ol-static-actionbar
304000000171,459,giftbox-cr-rotate-combo-35
304000000172,460,giftbox-cr-rotate-combo-34
304000000173,461,giftbox-cr-rotate-combo-33
304000000174,462,giftbox-cr-rotate-combo-32
304000000175,463,giftbox-cr-rotate-combo-31
304000000176,464,giftbox-cr-rotate-combo-2
304000000177,465,giftbox-cr-rotate-combo-1
304000000178,466,giftbox-cr-rotate-combo-37-custom-1
304000000179,467,giftbox-cr-rotate-combo-37-custom-2
304000000180,468,giftbox-cr-normal-rotate
304000000181,469,giftbox-cr-shake-combo-3
304000000182,470,giftbox-cr-normal-shake
304000000183,471,giftbox-cr-slide-click-combined
304000000184,472,giftbox-cr-normal-slide-gesture
304000000185,473,giftbox-cr-click-cycle
304000000186,474,giftbox-cr-click-hand
304000000187,475,giftbox-cr-static-actionbar
304000000188,476,giftbox-or-rotate-combo-35
304000000189,477,giftbox-or-rotate-combo-34
304000000190,478,giftbox-or-rotate-combo-33
304000000191,479,giftbox-or-rotate-combo-32
304000000192,480,giftbox-or-rotate-combo-31
304000000193,481,giftbox-or-rotate-combo-2
304000000194,482,giftbox-or-rotate-combo-1
304000000195,483,giftbox-or-rotate-combo-37-custom-1
304000000196,484,giftbox-or-rotate-combo-37-custom-2
304000000197,485,giftbox-or-normal-rotate
304000000198,486,giftbox-or-shake-combo-3
304000000199,487,giftbox-or-normal-shake
304000000200,488,giftbox-or-slide-click-combined
304000000201,489,giftbox-or-normal-slide-gesture
304000000202,490,giftbox-or-click-cycle
304000000203,491,giftbox-or-click-hand
304000000204,492,giftbox-or-static-actionbar
304000000205,493,cl-rotate-combo-35
304000000206,494,cl-rotate-combo-34
304000000207,495,cl-rotate-combo-33
304000000208,496,cl-rotate-combo-32
304000000209,497,cl-rotate-combo-31
304000000210,498,cl-rotate-combo-2
304000000211,499,cl-rotate-combo-1
304000000212,500,cl-rotate-combo-37-custom-1
304000000213,501,cl-rotate-combo-37-custom-2
304000000214,502,cl-normal-rotate
304000000215,503,cl-shake-combo-3
304000000216,504,cl-normal-shake
304000000217,505,cl-slide-click-combined
304000000218,506,cl-normal-slide-gesture
304000000219,507,cl-click-cycle
304000000220,508,cl-click-hand
304000000221,509,cl-static-actionbar
304000000222,510,ol-rotate-combo-35
304000000223,511,ol-rotate-combo-34
304000000224,512,ol-rotate-combo-33
304000000225,513,ol-rotate-combo-32
304000000226,514,ol-rotate-combo-31
304000000227,515,ol-rotate-combo-2
304000000228,516,ol-rotate-combo-1
304000000229,517,ol-rotate-combo-37-custom-1
304000000230,518,ol-rotate-combo-37-custom-2
304000000231,519,ol-normal-rotate
304000000232,520,ol-shake-combo-3
304000000233,521,ol-normal-shake
304000000234,522,ol-slide-click-combined
304000000235,523,ol-normal-slide-gesture
304000000236,524,ol-click-cycle
304000000237,525,ol-click-hand
304000000238,526,ol-static-actionbar
304000000239,527,cr-rotate-combo-35
304000000240,528,cr-rotate-combo-34
304000000241,529,cr-rotate-combo-33
304000000242,530,cr-rotate-combo-32
304000000243,531,cr-rotate-combo-31
304000000244,532,cr-rotate-combo-2
304000000245,533,cr-rotate-combo-1
304000000246,534,cr-rotate-combo-37-custom-1
304000000247,535,cr-rotate-combo-37-custom-2
304000000248,536,cr-normal-rotate
304000000249,537,cr-shake-combo-3
304000000250,538,cr-normal-shake
304000000251,539,cr-slide-click-combined
304000000252,540,cr-normal-slide-gesture
304000000253,541,cr-click-cycle
304000000254,542,cr-click-hand
304000000255,543,cr-static-actionbar
304000000256,544,or-rotate-combo-35
304000000257,545,or-rotate-combo-34
304000000258,546,or-rotate-combo-33
304000000259,547,or-rotate-combo-32
304000000260,548,or-rotate-combo-31
304000000261,549,or-rotate-combo-2
304000000262,550,or-rotate-combo-1
304000000263,551,or-rotate-combo-37-custom-1
304000000264,552,or-rotate-combo-37-custom-2
304000000265,553,or-normal-rotate
304000000266,554,or-shake-combo-3
304000000267,555,or-normal-shake
304000000268,556,or-slide-click-combined
304000000269,557,or-normal-slide-gesture
304000000270,558,or-click-cycle
304000000271,559,or-click-hand
304000000272,560,or-static-actionbar
304000000273,561,end-splash-rotate
304000000274,562,end-splash-normal
304000000275,799,redpacket-cl-rotate-combo-38
304000000276,800,bubble-cl-rotate-combo-38
304000000277,801,giftbox-cl-rotate-combo-38
304000000278,802,cl-rotate-combo-38
304000000279,803,redpacket-ol-rotate-combo-38
304000000280,804,bubble-ol-rotate-combo-38
304000000281,805,giftbox-ol-rotate-combo-38
304000000282,806,ol-rotate-combo-38
304000000283,807,redpacket-cr-rotate-combo-38
304000000284,808,bubble-cr-rotate-combo-38
304000000285,809,giftbox-cr-rotate-combo-38
304000000286,810,cr-rotate-combo-38
304000000287,811,redpacket-or-rotate-combo-38
304000000288,812,bubble-or-rotate-combo-38
304000000289,813,giftbox-or-rotate-combo-38
304000000290,814,or-rotate-combo-38
304000000291,,zhangfen-kaipingneixunhuan
304000000292,,zhangfen-kaipingneixunhuan2
